chart_week,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
2026-01-15,131,spotify:track:4qfkZtOGVw2BXa05wqXKkV,"Peso Pluma, Tito Double P",bckpckbyz,Double P Records,53,70,3,9665304
2026-01-15,132,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,"Don Omar, Lucenzo",Danza Kuduro,UMLE - Machete,80,120,107,9662028
2026-01-15,133,spotify:track:5MCbGWnNLLjoHpbDO3BOgi,"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan","Gehra Hua (From ""Dhurandhar"")",Saregama India Ltd,86,86,4,9660746
2026-01-15,134,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,Columbia,95,95,96,9638039
2026-01-15,135,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,4,139,430,9611083
2026-01-15,136,spotify:track:6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,Photograph,Atlantic Records UK,41,147,211,9608545
2026-01-15,137,spotify:track:2GP6UzoA55p6yYiPCGyEhg,"Omar Camacho, Victor Mendivil",2+2,Rico o Muerto Music LLC,81,126,23,9558319
2026-01-15,138,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,12,138,204,9486241
2026-01-15,139,spotify:track:1k0JAiH11gHL9dc5dfQjQr,ILLIT,NOT CUTE ANYMORE,BELIFT LAB,113,113,7,9483056
2026-01-15,140,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,a-ha,Take on Me,Rhino,56,74,83,9482063
2026-01-15,141,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,"Pitbull, AFROJACK, Ne-Yo, Nayer",Give Me Everything (feat. Nayer),Mr.305/Polo Grounds Music/J Records,72,140,62,9452694
2026-01-15,142,spotify:track:75JFxkI2RXiU7L9VXzMkle,Coldplay,The Scientist,Parlophone Records Limited,71,136,90,9388831
2026-01-15,143,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,8,156,153,9381255
2026-01-15,144,spotify:track:39shmbIHICJ2Wxnk1fPSdz,The Clash,Should I Stay or Should I Go - Remastered,Sony Music UK,90,90,3,9367084
2026-01-15,145,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Eminem Catalog PS,31,158,215,9322843
2026-01-15,146,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,15,153,249,9309818
2026-01-15,147,spotify:track:59dLtGBS26x7kc0rHbaPrq,"B.o.B, Bruno Mars",Nothin' on You (feat. Bruno Mars),Rebel Rock/Grand Hustle/Atlantic,147,-1,1,9301761
2026-01-15,148,spotify:track:4WxU1gDVmoH6gstgR0MT78,"Major Lazer, MØ, DJ Snake",Lean On (feat. MØ & DJ Snake),Third Pardee Records,113,152,31,9267469
2026-01-15,149,spotify:track:48QmG1dfvMuYLxMPt7KSRA,"Sean Paul, Dua Lipa",No Lie,Universal-Island Records Ltd.,80,163,42,9192686
2026-01-15,150,spotify:track:1XGmzt0PVuFgQYYnV2It7A,"Maroon 5, Wiz Khalifa",Payphone,Interscope Records*,70,148,86,9153840
2026-01-15,151,spotify:track:4zhk2RS2EZODmBW6il55Qj,"Beéle, Ovy On The Drums",mi refe,5020 Records,55,164,45,9147380
2026-01-15,152,spotify:track:5e9TFTbltYBg2xThimr0rU,Fleetwood Mac,The Chain - 2004 Remaster,Rhino/Warner Records,119,131,21,9139277
2026-01-15,153,spotify:track:1DwscornXpj8fmOmYVlqZt,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,Warner Records,153,-1,1,9134324
2026-01-15,154,spotify:track:1zv3WFUbZ5vPxFq9I2jAU1,"Rihanna, Calvin Harris",We Found Love,Def Jam Recordings,59,121,101,9108999
2026-01-15,155,spotify:track:73scB4Q4fcOmnsBVZPmk32,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,5,142,75,9060620
2026-01-15,156,spotify:track:6czM6UMQD9qE5GAUp68oud,"Justin Bieber, Chance the Rapper",Confident,RBMG/Def Jam,154,172,18,9056630
2026-01-15,157,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,7,117,57,9053415
2026-01-15,158,spotify:track:6393yGahSJ9slVdOwSxOVR,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,24,106,71,9052304
2026-01-15,159,spotify:track:2jCJjRc9mz6VYBMhLy3H9i,Zach Bryan,Plastic Cigarette,Warner Records,159,-1,1,9022783
2026-01-15,160,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,9,-1,47,9009325
